node,latitude,longitude
m3-188,50.6044513,3.1494381
m3-189,50.6047843,3.1494461
m3-190,50.6045049,3.1494631
m3-191,50.6044646,3.1494683
m3-192,50.6047938,3.1494695
m3-193,50.6044758,3.1494954
m3-194,50.6048055,3.1494962
m3-195,50.6044877,3.1495215
m3-196,50.6048172,3.1495222
m3-197,50.6048294,3.1495506
m3-198,50.6048421,3.1495782
m3-199,50.6048517,3.1496016
m3-200,50.6048639,3.1496275
m3-201,50.6048739,3.1496484
