node,latitude,longitude
m3-188,45.2184847,5.8064847
m3-189,45.2184914,5.8060978
m3-190,45.2184914,5.8058665
m3-191,45.2184923,5.8062487
m3-192,45.2184952,5.8065149
m3-193,45.2185023,5.8061266
m3-194,45.2185023,5.8058886
m3-195,45.2185084,5.8065404
m3-196,45.2185131,5.8062883
m3-197,45.2185136,5.8061548
m3-198,45.2185136,5.8059141
m3-199,45.2185197,5.8065645
m3-200,45.2185249,5.8061783
m3-201,45.2185249,5.8059409
m3-202,45.2185268,5.8063151
m3-203,45.2185377,5.8062091
m3-204,45.2185396,5.8063406
m3-205,45.2185509,5.8060026
m3-206,45.2185533,5.8063694
m3-207,45.2185580,5.8062453
m3-208,45.2185618,5.8060314
m3-209,45.2185698,5.8064009
m3-210,45.2185712,5.8062755
m3-211,45.2185755,5.8060562
m3-212,45.2185845,5.8063037
m3-213,45.2185863,5.8064344
m3-214,45.2185873,5.8060811
m3-215,45.2185963,5.8063332
m3-216,45.2185977,5.8061092
m3-217,45.2185986,5.8064646
m3-218,45.2186100,5.8063647
m3-219,45.2186118,5.8064901
m3-220,45.2186246,5.8065169
m3-221,45.2186256,5.8064009
m3-222,45.2186322,5.8061769
m3-223,45.2186369,5.8065417
m3-224,45.2186383,5.8064297
m3-225,45.2186449,5.8062058
m3-226,45.2186487,5.8065672
m3-227,45.2186496,5.8064545
m3-228,45.2186590,5.8062346
m3-229,45.2186600,5.8064800
m3-230,45.2186605,5.8065914
m3-231,45.2186709,5.8062621
m3-232,45.2186723,5.8066201
m3-233,45.2186728,5.8065055
m3-234,45.2186822,5.8062950
m3-235,45.2186841,5.8069199
m3-236,45.2186842,5.8066470
m3-237,45.2186865,5.8065330
m3-238,45.2186988,5.8066745
m3-239,45.2186992,5.8065592
m3-240,45.2187110,5.8065846
m3-241,45.2187120,5.8066999
m3-242,45.2187162,5.8063587
m3-243,45.2187177,5.8069958
m3-244,45.2187219,5.8067241
m3-245,45.2187228,5.8066128
m3-246,45.2187280,5.8063875
m3-247,45.2187285,5.8070206
m3-248,45.2187318,5.8067483
m3-249,45.2187342,5.8066383
m3-250,45.2187404,5.8064137
m3-251,45.2187408,5.8070468
m3-252,45.2187450,5.8067757
m3-253,45.2187455,5.8066624
m3-254,45.2187517,5.8070702
m3-255,45.2187536,5.8064412
m3-256,45.2187550,5.8068019
m3-257,45.2187583,5.8066879
m3-258,45.2187626,5.8070964
m3-259,45.2187635,5.8064706
m3-260,45.2187668,5.8068287
m3-261,45.2187696,5.8067154
m3-262,45.2187743,5.8071217
m3-263,45.2187819,5.8067422
m3-264,45.2187890,5.8071566
m3-265,45.2187937,5.8067677
m3-266,45.2187998,5.8071802
m3-267,45.2188046,5.8067938
m3-268,45.2188117,5.8072043
m3-269,45.2188131,5.8069449
m3-270,45.2188230,5.8072312
m3-271,45.2188253,5.8069709
m3-272,45.2188353,5.8069945
m3-273,45.2188364,5.8072545
m3-274,45.2188452,5.8066289
m3-275,45.2188457,5.8070179
m3-276,45.2188565,5.8066571
m3-277,45.2188568,5.8070426
m3-278,45.2188580,5.8069033
m3-279,45.2188679,5.8066812
m3-280,45.2188698,5.8069267
m3-281,45.2188782,5.8067053
m3-282,45.2188802,5.8069516
m3-283,45.2188896,5.8067308
m3-284,45.2188905,5.8069750
m3-285,45.2188971,5.8071224
m3-286,45.2189007,5.8069977
m3-287,45.2189030,5.8067637
m3-288,45.2189094,5.8071479
m3-289,45.2189217,5.8071700
